timestamp,tweet_text,username,all_hashtags
2019-12-14 12:53:17,"b'RT @ARMurugadoss: Hello Friends, Get ready for an action packed Trailer!!! Happy to announce that we will be launching the Trailer of DARBA\xe2\x80\xa6'",b'Batman_OFFL',[]
2019-12-14 12:53:16,"b'RT @zeusFanHouse: #Batman Nemesis Joker Helps Trump Get Re-Elected In New #ComicComic book author #FrankMiller\xe2\x80\x99s latest publication, #The\xe2\x80\xa6'",b'UPMHPM',"['Batman', 'Comic', 'FrankMiller']"
2019-12-14 12:53:15,b'RT @Scorpio6466: @ParaDemonX @MisterJonDoe297 @BrandonJRouth @GeorgeSeia @DeusLexMachina @CaresDaniella @Chali_Do @TaskForcePrice @Partizan\xe2\x80\xa6',b'ParaDemonX',[]
2019-12-14 12:53:13,b'Daniel Day-Lewis as Batman starring in Shrek',b'RottenBOTTomato',[]
2019-12-14 12:52:58,b'@MonocleMan1 Unless you are: A BatmanB Diagnosed with unnecessary accessory disorderThis is not mandatory',b'JAllenWerner',[]
2019-12-14 12:52:58,b'RT @PushpakPorwal: @WBIndiaChannel A - Batman Begins B - Interstellar D - The Dark Knight #ChristopherNolan #ContestAlert #fun #movie\xe2\x80\xa6',b'blessedkamal',"['ChristopherNolan', 'ContestAlert', 'fun']"
2019-12-14 12:52:54,b'RT @DanielRPK: The Batman starts shooting in ONE MONTH from today \xf0\x9f\x98\xb2\xf0\x9f\x98\x80',b'onlyunseenwords',[]
2019-12-14 12:52:47,"b'@AjaY_LosersClub U didn\xe2\x80\x99t mention Ben affleck as a batman, just named Ben affleck n mahesh babu. Y do u always been dumb shit ?'",b'itzZ_Psycho__',[]
2019-12-14 12:52:36,"b'RT @IGN: From Xbox Series X to a complete lack of Batman, here were the biggest surprises (and let downs) from The Game Awards 2019. https:\xe2\x80\xa6'",b'JamCorn_',[]
2019-12-14 12:52:35,b'@LukeFlux1 @ArkhamVideos @NicoToscani7 Bet it was to test the Arkham community waters. See if it\xe2\x80\x99s still infested or not. While the game gets all the heavy lifting next year and comes out alongside the batman movie 2021',b'usayd_khan',[]
2019-12-14 12:52:28,b'RT @kilIingyves: when heejin talks like ok batman gotham city needs u \xf0\x9f\x98\xad',b'xuanyvivi',[]
2019-12-14 12:52:28,b'RT @Bungie: This is Lord Shaxx! Adopted a year and three months ago and recently he\xe2\x80\x99s been obsessed with taking his stuffed pink Dino on wa\xe2\x80\xa6',b'GUARDIA09651932',[]
2019-12-14 12:52:20,b'@BRUCEWAYNE57BK @sidsk29 @I_Raj13 @BenAffleck Welcome back Batman',b'1arsenal_37',[]
2019-12-14 12:52:13,b'Imagine smoking pot with Batman. What would it be like.',b'Ginly20',[]
2019-12-14 12:51:36,b'RT @kilIingyves: when heejin talks like ok batman gotham city needs u \xf0\x9f\x98\xad',b'hobisparfait',[]
2019-12-14 12:51:31,b'The village of Hamduna where Yezidis live.  Batman 1921.#\xc3\x8azidxan #YazidiReligion#YazidiCulture https://t.co/aMWQpF4ENx',b'EzidiCulture',"['Êzidxan', 'YazidiReligion', 'YazidiCulture']"
2019-12-14 12:51:24,b'@WBIndiaChannel A - Batman Begins B - Interstellar C - The Dark Knight #ChristopherNolan #ContestAlert #fun #movies #action #drama #love #favourite #moviejunkies #comment #contest @WBIndiaChannel @ankittokalwar @sameerghazi11 @Divyapednekar71 @seemaraibagi09 @VHetal @AnitaYa05853817',b'i_ashwin789',"['ChristopherNolan', 'ContestAlert', 'fun', 'movies', 'action', 'drama', 'love', 'favourite', 'moviejunkies', 'comment', 'contest']"
2019-12-14 12:51:24,"b""RT @mrjohndarby: date: who's your favourite superhero?me: *loudly* all the working single mothersdate: I like batman""",b'dr_somyagupta',[]
2019-12-14 12:51:09,b'@BunnyPolitricks @MarkDice @KTLA @BernieSanders @cenkuygur @TheYoungTurks Holy crap Batman!!',b'HarryCharalam10',[]
